id,cable_id,description,name,color,coordinates,length,rfs,owners,url,col10
marea,1890,"[{""landing_point_id"":3067,""name"":""Bilbao, Spain"",""latlon"":""43.268348,-2.946159""},{""landing_point_id"":4862,""name"":""Virginia Beach, Virginia, United States"",""latlon"":""36.755009,-76.059198""}]",MAREA,#298ea4,"<MultiGeometry><LineString><coordinates>-76.0591980554816,36.7550084406425,0 -74.6998728465653,36.8131986057774,0 -72.4498744404853,37.5897865736031,0 -61.1998824100852,38.2995206059693,0 -50.3998900609011,37.7678624251788,0 -39.599897711717,39.0023789090584,0 -23.3999091879409,43.4011449731539,0 -16.1999142884848,45.9602452412534,0 -9.89991875146077,46.5823550820959,0 -5.84992162051671,45.6465414951874,0 -4.27492273626071,44.6948290895781,0 -2.94919125354632,43.2742190006118,0</coordinates></LineString></MultiGeometry>","6,605 km",February 2018,"Facebook,  Microsoft,  Telxius",,
brazilian-festoon,1888,"[{""landing_point_id"":3356,""name"":""Aracajú, Brazil"",""latlon"":""-10.909604,-37.074805""},{""landing_point_id"":16690,""name"":""Atafona, Brazil"",""latlon"":""-21.631157,-41.027245""},{""landing_point_id"":4590,""name"":""Ilhéus, Brazil"",""latlon"":""-14.787972,-39.047704""},{""landing_point_id"":3351,""name"":""João Pessoa, Brazil"",""latlon"":""-7.115295,-34.861037""},{""landing_point_id"":3387,""name"":""Macaé, Brazil"",""latlon"":""-22.371806,-41.785643""},{""landing_point_id"":3344,""name"":""Maceió, Brazil"",""latlon"":""-9.666465,-35.734962""},{""landing_point_id"":3354,""name"":""Natal, Brazil"",""latlon"":""-5.794836,-35.211183""},{""landing_point_id"":5493,""name"":""Porto Seguro, Brazil"",""latlon"":""-16.451081,-39.064697""},{""landing_point_id"":3352,""name"":""Recife, Brazil"",""latlon"":""-8.055333,-34.871974""},{""landing_point_id"":3242,""name"":""Rio de Janeiro, Brazil"",""latlon"":""-22.903397,-43.209568""},{""landing_point_id"":3342,""name"":""Salvador, Brazil"",""latlon"":""-12.969979,-38.504541""},{""landing_point_id"":16689,""name"":""Sitio, Brazil"",""latlon"":""-11.846664,-37.570508""},{""landing_point_id"":5506,""name"":""São Mateus, Brazil"",""latlon"":""-18.716705,-39.859130""},{""landing_point_id"":3343,""name"":""Vitória, Brazil"",""latlon"":""-20.294024,-40.301659""}]",Brazilian Festoon,#a46a2a,"<MultiGeometry><LineString><coordinates>-35.2111801176007,-5.79484245419528,0 -34.874901058949,-6.1694505295744,0 -34.762401138645,-6.61665069347535,0 -34.8610338812726,-7.1152929651299,0 -34.649901218341,-7.398261494591,0 -34.649901218341,-7.73282279439173,0 -34.8719713735244,-8.05532270368685,0 -34.762401138645,-8.40113904812291,0 -35.099900899557,-9.29042430103552,0 -35.7349590434258,-9.65222014243109,0 -35.887400341685,-10.1774574303611,0 -36.449899943205,-10.7306176825277,0 -37.0748018442686,-10.9096043103971,0 -37.012399544725,-11.1724209211282,0 -37.181149425181,-11.5584485149623,0 -37.5705046181081,-11.8466657806312,0 -37.687399066549,-12.2739349996246,0 -38.024898827461,-12.8229956256297,0 -38.5044883314653,-12.9699732534519,0 -38.474898508677,-13.480286782092,0 -38.699898349285,-14.2448425473154,0 -39.0477008372735,-14.7879644803951,0 -38.812398269589,-15.2240322846473,0 -38.699898349285,-15.8743232816897,0 -38.812398269589,-16.3066930656182,0 -39.064693012736,-16.45107407934,0 -38.924898189893,-16.95345498981,0 -38.924898189893,-17.5979989961555,0 -39.374897871109,-18.4538137757772,0 -39.8591260437022,-18.7166937104584,0 -39.599897711717,-18.9865532568728,0 -39.599897711717,-19.7295254500209,0 -39.824897552325,-20.1525437860187,0 -40.3016550270855,-20.2940296189309,0 -40.499897074149,-20.9951315430258,0 -41.027240450574,-21.63114937023,0 -40.949896755365,-21.8329908052019,0 -41.174896595973,-22.2500996790901,0 -41.399896436581,-22.3541840836425,0 -41.7856383508178,-22.37179485614,0 -41.849896117797,-22.6659699677947,0 -42.299895799013,-23.0805835057476,0 -42.749895480229,-23.0805835057476,0 -43.2095631233462,-22.9034839647324,0</coordinates></LineString></MultiGeometry>","2,543 km",1996,Embratel,http://www.embratel.com.br,
nationwide-submarine-cable-ooredoo-maldives-nascom,1868,"[{""landing_point_id"":10812,""name"":""Eydhafushi, Maldives"",""latlon"":""5.103230,73.070821""},{""landing_point_id"":10816,""name"":""Hithadhoo, Maldives"",""latlon"":""-0.606020,73.089181""},{""landing_point_id"":9215,""name"":""Hulhumale, Maldives"",""latlon"":""4.211946,73.540157""},{""landing_point_id"":16506,""name"":""Kolhufushi, Maldives"",""latlon"":""2.776766,73.424630""},{""landing_point_id"":10811,""name"":""Kulhudhufushi, Maldives"",""latlon"":""6.622443,73.071407""},{""landing_point_id"":16505,""name"":""Thinadhoo, Maldives"",""latlon"":""0.531088,72.997677""}]",Nationwide Submarine Cable Ooredoo Maldives (NaSCOM),#f07523,"<MultiGeometry><LineString><coordinates>73.0891826145312,-0.605520805169766,0 72.9976787731034,0.281087260908336,0 72.9976787731034,0.531080606428881,0 72.9976787731034,0.781063841597854,0 73.424631595646,2.77677633316418,0 73.5395729204705,3.27607703545286,0 73.5403541699171,3.96298071606907,0 73.5403541699171,4.21234437942167,0 73.4903542053375,4.46162813509415,0 73.2708231108554,4.85456320741745,0 73.0708232525372,5.10361944119789,0 73.1708231816963,5.60143729268959,0 73.171506774962,6.12582537786958,0 73.0715068458029,6.62282936395045,0</coordinates></LineString></MultiGeometry>","1,136 km",January 2017,Ooredoo Maldives,http://ooredoo.mv,
saba-statia-cable-system-sscs,1807,"[{""landing_point_id"":4356,""name"":""Basseterre, Saint Kitts and Nevis"",""latlon"":""17.298451,-62.731226""},{""landing_point_id"":16282,""name"":""Fort Bay, Bonaire, Sint Eustatius and Saba"",""latlon"":""17.616493,-63.251636""},{""landing_point_id"":16123,""name"":""Great Bay Beach, Saint Martin"",""latlon"":""18.024452,-63.055054""},{""landing_point_id"":16283,""name"":""Oranjestad Bay, Bonaire, Sint Eustatius and Saba"",""latlon"":""17.481849,-62.987036""}]","Saba, Statia Cable System (SSCS)",#c12039,"<MultiGeometry><LineString><coordinates>-62.7297641388026,17.298638828531,0 -62.8297640679617,17.298638828531,0 -62.9870393471714,17.3864489535303,0 -62.9870393471714,17.4818550638735,0 -63.087088104421,17.4818550638735,0 -63.2516387691017,17.5211582788688,0 -63.2516387691017,17.6164937024155,0 -63.3516875263513,17.6164937024155,0 -63.3516875263513,17.7117787818339,0 -63.1550568062713,17.9293298390632,0 -63.0550568771122,18.0244478670329,0</coordinates></LineString></MultiGeometry>",n.a.,2013,n.a.,http://www.sscsbv.com,
east-west-submarine-cable-system,1886,"[{""landing_point_id"":7808,""name"":""Kuching, Malaysia"",""latlon"":""1.520175,110.353714""},{""landing_point_id"":5902,""name"":""Mersing, Malaysia"",""latlon"":""2.295516,103.849908""},{""landing_point_id"":16634,""name"":""Penarik, Indonesia"",""latlon"":""3.666756,108.290238""},{""landing_point_id"":16635,""name"":""Terempa, Indonesia"",""latlon"":""3.207137,106.211137""}]",East-West Submarine Cable System,#ee1750,"<MultiGeometry><LineString><coordinates>103.850684260295,2.29570682843529,0 104.400000277404,2.48031178685879,0 105.749999321052,2.59270146460188,0 105.97499916166,2.81745044265415,0 106.211131806882,3.20714459117903,0 106.874998524092,3.15449149809991,0 107.324998205308,3.26681481681573,0 107.999997727132,3.49142332232056,0 108.290231896528,3.66676406491768,0 108.899997089564,3.26681481681573,0 109.799996451996,2.59270146460188,0 110.362496053516,1.91822878021566,0 110.353706997243,1.52016693991363,0</coordinates></LineString></MultiGeometry>",950 km,2004,Sacofa,https://www.sacofa.com.my,
smpcs-packet-1,1884,"[{""landing_point_id"":16571,""name"":""Ambon, Indonesia"",""latlon"":""-3.655384,128.190717""},{""landing_point_id"":16626,""name"":""Bandaneria, Indonesia"",""latlon"":""-4.520179,129.872064""},{""landing_point_id"":16574,""name"":""Fakfak, Indonesia"",""latlon"":""-3.097767,133.019425""},{""landing_point_id"":16570,""name"":""Kendari, Indonesia"",""latlon"":""-3.998475,122.512985""},{""landing_point_id"":16636,""name"":""Labuha, Indonesia"",""latlon"":""-0.626797,127.480463""},{""landing_point_id"":15115,""name"":""Manado, Indonesia"",""latlon"":""1.490878,124.839547""},{""landing_point_id"":16625,""name"":""Masohi, Indonesia"",""latlon"":""-3.297840,128.955267""},{""landing_point_id"":16624,""name"":""Namlea, Indonesia"",""latlon"":""-3.233412,127.085834""},{""landing_point_id"":16623,""name"":""Sanana, Indonesia"",""latlon"":""-2.201479,125.937007""},{""landing_point_id"":16622,""name"":""Sofifi, Indonesia"",""latlon"":""0.734970,127.561420""},{""landing_point_id"":16573,""name"":""Sorong, Indonesia"",""latlon"":""-0.882070,131.295403""},{""landing_point_id"":16572,""name"":""Ternate, Indonesia"",""latlon"":""0.789853,127.375385""}]",SMPCS Packet-1,#a53b96,"<MultiGeometry><LineString><coordinates>126.899984338204,1.01853421661563,0 127.34998401942,1.01853421661563,0 127.462483939724,0.906050180869085,0 127.561409650895,0.734974159349509,0</coordinates></LineString><LineString><coordinates>127.34998401942,1.01853421661563,0 127.34998401942,0.906050180869085,0 127.375374626433,0.789852072003663,0</coordinates></LineString><LineString><coordinates>128.190706080095,-3.6457430595117,0 128.024983541244,-4.04055528906197,0 127.799983700636,-4.15276774801369,0 126.449984656988,-4.15276774801369,0 125.09998561334,-3.81608422175006,0 123.074987047868,-3.81608422175006,0 122.512975727253,-3.99847159115814,0</coordinates></LineString><LineString><coordinates>127.480452676995,-0.626808621430855,0 127.34998401942,-0.781386636225423,0 127.34998401942,-1.00635895122472,0</coordinates></LineString><LineString><coordinates>126.674984497596,-1.2313157502174,0 127.34998401942,-1.00635895122472,0 127.799983700636,-1.00635895122472,0 128.249983381852,-1.2313157502174,0 129.149982744284,-1.2313157502174,0 129.5999824255,-0.781386636225423,0 130.39002092833,-0.5901896194919,0 130.890118230306,-0.5901896194919,0 131.295391380707,-0.882059537706274,0</coordinates></LineString><LineString><coordinates>126.686996207837,-2.20147343995336,0 125.936996739144,-2.20147343995336,0</coordinates></LineString><LineString><coordinates>127.34998401942,-3.25465736479755,0 127.085824050304,-3.23340243165855,0</coordinates></LineString><LineString><coordinates>129.149982744284,-3.92832730414261,0 129.149982744284,-3.70382647066819,0 128.955256319731,-3.2978483445005,0</coordinates></LineString><LineString><coordinates>129.872052545263,-4.52016906647009,0 129.824982266108,-4.15276774801369,0</coordinates></LineString><LineString><coordinates>124.839634235276,1.49078257623188,0 125.09998561334,1.24349007697817,0 125.999984975772,1.01853421661563,0 126.899984338204,1.01853421661563,0 126.899984338204,0.568578852526363,0 126.899984338204,0.118588418888384,0 126.674984497596,-1.2313157502174,0 126.686996207837,-2.20147343995336,0 127.124984178812,-2.58053670498399,0 127.34998401942,-3.25465736479755,0 127.574983860028,-3.70382647066819,0 127.799983700636,-3.92832730414261,0 128.024983541244,-3.92832730414261,0 128.190706080095,-3.6457430595117,0 128.47498322246,-3.81608422175006,0 129.149982744284,-3.92832730414261,0 129.824982266108,-4.15276774801369,0 130.499981787933,-4.15276774801369,0 131.399981150364,-3.92832730414261,0 132.299980512796,-3.47926867897005,0 132.749980194013,-3.36696949729521,0 133.008573760822,-3.11142179167755,0</coordinates></LineString></MultiGeometry>","3,156 km",2015,Telkom Indonesia,,
smpcs-packet-2,1885,"[{""landing_point_id"":16629,""name"":""Biak, Indonesia"",""latlon"":""-1.163466,136.053286""},{""landing_point_id"":16574,""name"":""Fakfak, Indonesia"",""latlon"":""-3.097767,133.019425""},{""landing_point_id"":16627,""name"":""Jayapura, Indonesia"",""latlon"":""-2.591566,140.669104""},{""landing_point_id"":16633,""name"":""Kaimana, Indonesia"",""latlon"":""-3.679359,133.791495""},{""landing_point_id"":16630,""name"":""Manokwari, Indonesia"",""latlon"":""-0.861465,134.062003""},{""landing_point_id"":16576,""name"":""Merauke, Indonesia"",""latlon"":""-8.499083,140.405042""},{""landing_point_id"":16628,""name"":""Sarmi, Indonesia"",""latlon"":""-2.175233,139.353285""},{""landing_point_id"":16573,""name"":""Sorong, Indonesia"",""latlon"":""-0.882070,131.295403""},{""landing_point_id"":16575,""name"":""Timika, Indonesia"",""latlon"":""-4.550257,136.889614""},{""landing_point_id"":16632,""name"":""Tual, Indonesia"",""latlon"":""-5.626550,132.752043""},{""landing_point_id"":16631,""name"":""Waisai, Indonesia"",""latlon"":""-0.383364,130.857610""}]",SMPCS Packet-2,#34b54b,"<MultiGeometry><LineString><coordinates>136.574977484348,-5.0498571673668,0 136.889625698949,-4.55025034358904,0</coordinates></LineString><LineString><coordinates>134.09997923766,-4.15276774801369,0 133.791483362452,-3.67936562946287,0</coordinates></LineString><LineString><coordinates>132.75203097381,-5.63538528170338,0 132.637529101799,-5.38595784717292,0 132.639628709687,-5.12874409271193,0 132.855351213117,-4.42738629676555,0</coordinates></LineString><LineString><coordinates>134.061990983322,-0.861456468675715,0 134.324979078268,-0.725141539440118,0 134.549978918876,-0.556402272850614,0</coordinates></LineString><LineString><coordinates>136.053298166411,-1.18718498816118,0 135.899977962525,-1.40002108175268,0</coordinates></LineString><LineString><coordinates>139.499975412252,-1.68116893590504,0 139.353295828662,-2.17522308583731,0</coordinates></LineString><LineString><coordinates>140.669115209023,-2.59156061504897,0 140.399974774685,-2.13091848096027,0 139.499975412252,-1.68116893590504,0 137.699976687389,-1.2313157502174,0 136.799977324957,-1.2313157502174,0 136.349977643741,-1.40002108175268,0 135.899977962525,-1.40002108175268,0 135.449978281309,-1.17507819468848,0 134.999978600093,-0.781386636225423,0 134.549978918876,-0.556402272850614,0 133.649979556444,-0.331409329660171,0 132.299980512796,-0.106411275875372,0 131.624980990972,-0.331409329660171,0 131.295391380707,-0.882059537706274,0 131.045391557809,-0.757072438821973,0 130.890118230306,-0.690183293826887,0 130.39002092833,-0.690183293826887,0 130.274981947324,-1.2313157502174,0 130.72498162854,-1.68116893590504,0 131.399981150364,-2.58053670498399,0 131.84998083158,-3.02999596800863,0 132.299980512796,-3.25465736479755,0 132.749980194013,-3.25465736479755,0 133.008573760822,-3.11142179167755,0 132.749980194013,-3.47926867897005,0 132.605351390219,-3.67926817456624,0 132.605351390219,-4.17809128515738,0 132.855351213117,-4.42738629676555,0 133.649979556444,-4.37714437553184,0 134.09997923766,-4.15276774801369,0 134.999978600093,-4.71358217722921,0 135.899977962525,-4.82569249921744,0 136.574977484348,-5.0498571673668,0 136.799977324957,-6.1694505295744,0 136.799977324957,-8.40113904812291,0 137.249977006172,-8.84605018681905,0 138.599976049821,-9.06830600387436,0 139.949975093469,-8.84605018681905,0 140.405052896087,-8.49908742360253,0</coordinates></LineString><LineString><coordinates>130.857598722093,-0.383361405408916,0 131.295391380707,-0.882059537706274,0</coordinates></LineString></MultiGeometry>","3,498 km",2015,Telkom Indonesia,,
luwuk-tutuyan-cable-system-ltcs,1883,"[{""landing_point_id"":16620,""name"":""Luwuk, Indonesia"",""latlon"":""-0.938784,122.792770""},{""landing_point_id"":16621,""name"":""Tutuyan, Indonesia"",""latlon"":""0.761435,124.574996""}]",Luwuk Tutuyan Cable System (LTCS),#564ca0,"<MultiGeometry><LineString><coordinates>124.574985985255,0.761436727647562,0 124.649985932124,0.568578852526363,0 124.649985932124,0.118588418888384,0 123.749986569692,-1.00635895122472,0 123.299986888476,-1.09071975534334,0 123.074987047868,-1.06259974102863,0 122.7927606853,-0.938790613692152,0</coordinates></LineString></MultiGeometry>",446 km,2015,Telkom Indonesia,,
tarakan-selor-cable-system-tscs,1882,"[{""landing_point_id"":16619,""name"":""Tanjung Selor, Indonesia"",""latlon"":""2.572030,117.819433""},{""landing_point_id"":16618,""name"":""Tarakan, Indonesia"",""latlon"":""3.327352,117.578515""}]",Tarakan Selor Cable System (TSCS),#3eb658,"<MultiGeometry><LineString><coordinates>117.578506566627,3.3273589200004,0 117.618740913124,3.15449149809991,0 117.899990713884,3.04215604242589,0 117.899990713884,2.81745044265415,0 117.819424364708,2.5720193786318,0</coordinates></LineString></MultiGeometry>",83 km,2014,Telkom Indonesia,,
sumatera-bangka-cable-system-sbcs,1881,"[{""landing_point_id"":16617,""name"":""Muntok, Indonesia"",""latlon"":""-2.065151,105.164263""},{""landing_point_id"":9723,""name"":""Palembang, Indonesia"",""latlon"":""-2.990980,104.757330""}]",Sumatera Bangka Cable System (SBCS),#bbb135,"<MultiGeometry><LineString><coordinates>105.164257548497,-2.06514234113759,0 104.84999995862,-2.24333642875537,0 104.737500038316,-2.46814597265621,0 104.625000118012,-2.63672837237872,0 104.625000118012,-2.80528793230792,0 104.757324243023,-2.99098740520724,0</coordinates></LineString></MultiGeometry>",57 km,2014,Telkom Indonesia,,
s-u-b-cable-system,1880,"[{""landing_point_id"":7803,""name"":""Banjarmasin, Indonesia"",""latlon"":""-3.327967,114.604005""},{""landing_point_id"":9720,""name"":""Makassar, Indonesia"",""latlon"":""-5.152185,119.412401""},{""landing_point_id"":7802,""name"":""Surabaya, Indonesia"",""latlon"":""-7.258581,112.746681""}]",S-U-B Cable System,#ce5729,"<MultiGeometry><LineString><coordinates>114.603996955047,-3.32758370884411,0 114.187493343852,-3.70382647066819,0 113.84999358294,-4.82569249921744,0 112.7249943799,-6.39309949782378,0 112.7249943799,-6.61665069347535,0 112.746674052042,-7.25859163859927,0 112.837494300204,-6.61665069347535,0 112.949994220508,-6.39309949782378,0 114.456047841106,-5.8742142309723,0 116.140885514738,-5.8742142309723,0 117.449991032668,-6.1694505295744,0 118.799990076316,-5.27394436364126,0 119.412391986235,-5.15218457465517,0 118.799990076316,-5.16191066211296,0 116.583097115534,-4.62870883956066,0 114.749992945372,-4.60145376483708,0 114.299993264156,-4.37714437553184,0 114.299993264156,-3.70382647066819,0 114.603996955047,-3.32758370884411,0</coordinates></LineString></MultiGeometry>","2,009 km",1998,Telkom Indonesia,,
indigo-west,1744,"[{""landing_point_id"":3012,""name"":""Jakarta, Indonesia"",""latlon"":""-6.171594,106.827861""},{""landing_point_id"":3239,""name"":""Perth, Australia"",""latlon"":""-31.953442,115.857227""},{""landing_point_id"":5938,""name"":""Tuas, Singapore"",""latlon"":""1.338193,103.647076""}]",INDIGO-West,#b6b8ba,"<MultiGeometry><LineString><coordinates>103.853028008635,1.29406357456417,0 103.837500675884,1.01853421661563,0 103.837500675884,0.79356265260728,0 104.175000436796,0.627828508148671,0 104.84999995862,0.512331397069644,0 105.524999480444,0.118588418888384,0 106.199999002268,-0.781386636225423,0 106.985496492689,-2.13091848096027,0 107.0999983647,-3.02999596800863,0 107.0999983647,-4.60145376483708,0 106.762498603788,-5.27394436364126,0 106.706248643636,-5.72187274783404,0 106.833396991063,-6.17158651838072,0 106.424998842876,-5.77783969920955,0 105.880272666265,-5.92416797033015,0 105.749999321052,-6.00165166491378,0 105.299999639836,-6.05759043242453,0 104.84999995862,-6.61665069347535,0 104.84999995862,-7.5098106883395,0 105.299999639836,-11.9439449317469,0 111.149995495644,-27.1538312853916,0 112.949994220508,-30.3099533446468,0 113.84999358294,-31.0838347187672,0 115.857316379684,-31.9534389439805,0</coordinates></LineString></MultiGeometry>","4,600 km",Q1 2019,"Superloop,  Telstra,  SingTel,  Google,  Indosat Ooredoo,  Australia’s Academic and Research Network (AARNET)",http://www.subpartners.net/indigo,
junior,1876,"[{""landing_point_id"":3242,""name"":""Rio de Janeiro, Brazil"",""latlon"":""-22.903397,-43.209568""},{""landing_point_id"":3411,""name"":""Santos, Brazil"",""latlon"":""-23.961844,-46.328072""}]",Junior,#b6b8ba,"<MultiGeometry><LineString><coordinates>-46.3280667735439,-23.961845467703,0 -44.9998938863091,-24.1115027342574,0 -43.649894842661,-23.4939224458978,0 -43.2095631233462,-22.9034839647324,0</coordinates></LineString></MultiGeometry>",390 km,2018,Google,,
skagerrak-4,1875,"[{""landing_point_id"":3131,""name"":""Kristiansand, Norway"",""latlon"":""58.150958,7.996255""},{""landing_point_id"":16362,""name"":""Tjele, Denmark"",""latlon"":""56.510798,9.611684""}]",Skagerrak 4,#61bc47,"<MultiGeometry><LineString><coordinates>7.99625997696834,58.1510654690743,0 8.4375682580914,57.9320565869514,0 8.77506801900339,57.5718902790051,0 9.11256777991542,57.1471456627373,0 9.11256777991542,56.8407386421456,0 9.22506770021942,56.7174684820411,0 9.28131766037142,56.5937929784191,0 9.33756762052342,56.5628106790317,0 9.61168852008359,56.5107937719934,0</coordinates></LineString></MultiGeometry>",137 km,December 2014,Statnett,,
atisa,1874,"[{""landing_point_id"":5973,""name"":""Piti, Guam"",""latlon"":""13.464688,144.694688""},{""landing_point_id"":16551,""name"":""Sasanlagu, Rota, Northern Mariana Islands"",""latlon"":""14.144937,145.134337""},{""landing_point_id"":16550,""name"":""Sugar Dock, Saipan"",""latlon"":""15.151809,145.699571""},{""landing_point_id"":16552,""name"":""Tachognya Beach, Tinian, Northern Mariana Islands"",""latlon"":""14.958767,145.629258""}]",Atisa,#57bf8e,"<MultiGeometry><LineString><coordinates>145.629267945204,14.9587710609815,0 145.462471188365,14.9098938602897,0 145.124971427453,14.9098938602897,0</coordinates></LineString><LineString><coordinates>144.787471666541,14.3656537592285,0 145.012471507149,14.3656537592285,0 145.134346420811,14.144932053704,0</coordinates></LineString><LineString><coordinates>144.694698294762,13.464777824933,0 144.674971746237,13.9293038432719,0 144.787471666541,14.3656537592285,0 145.124971427453,14.9098938602897,0 145.349971268061,15.1272080020585,0 145.699580395394,15.1518116378589,0</coordinates></LineString></MultiGeometry>",279 km,June 2017,Docomo Pacific,http://atisa.docomopacific.com,
tui-samoa,1855,"[{""landing_point_id"":5705,""name"":""Apia, Samoa"",""latlon"":""-13.833675,-171.766684""},{""landing_point_id"":17016,""name"":""Leava, Wallis and Futuna"",""latlon"":""-14.296834,-178.158108""},{""landing_point_id"":16955,""name"":""Mata-Utu, Wallis and Futuna"",""latlon"":""-13.281991,-176.175000""},{""landing_point_id"":17015,""name"":""Savusavu, Fiji"",""latlon"":""-16.808015,179.349750""},{""landing_point_id"":4268,""name"":""Suva, Fiji"",""latlon"":""-18.123810,178.437446""},{""landing_point_id"":16520,""name"":""Tuasivi, Samoa"",""latlon"":""-13.670589,-172.178161""}]",Tui-Samoa,#b6b8ba,"<MultiGeometry><LineString><coordinates>-176.1750004693,-13.281999539263,0 -175.724801279558,-13.6989872696108,0 -175.49980143895,-14.1357753750647,0</coordinates></LineString><LineString><coordinates>-178.15810815716,-14.296836845342,0 -177.74979984503,-14.5717264913325,0 -177.299800163814,-15.0068170329188,0</coordinates></LineString><LineString><coordinates>179.349751869797,-16.8080144371388,0 179.549947040477,-17.168553094226,0 179.999922307648,-17.5979989961555,0</coordinates></LineString><LineString><coordinates>-171.766694037132,-13.8334859179659,0 -171.899803989222,-13.480286782092,0 -172.237303750134,-13.261386000117,0 -172.799803351654,-13.261386000117,0 -175.49980143895,-14.1357753750647,0 -177.299800163814,-15.0068170329188,0 -179.549798569894,-17.168553094226,0 -179.99979825111,-17.5979989961555,0</coordinates></LineString><LineString><coordinates>-171.899803989222,-13.480286782092,0 -172.012303909526,-13.589662250512,0 -172.178160725625,-13.6705932589882,0</coordinates></LineString><LineString><coordinates>178.437447828582,-18.1238122800172,0 178.874971932698,-18.1345548373355,0 179.999922307648,-17.5979989961555,0</coordinates></LineString></MultiGeometry>","1,693 km",February 2018,Samoa Submarine Cable Company,http://ssccsamoa.com/,
bugio,1443,"[{""landing_point_id"":5936,""name"":""Carcavelos, Portugal"",""latlon"":""38.690165,-9.331557""},{""landing_point_id"":5934,""name"":""Sesimbra, Portugal"",""latlon"":""38.442691,-9.102748""}]",BUGIO,#d43995,"<MultiGeometry><LineString><coordinates>-9.33155977909159,38.6901628260681,0 -9.43151088016028,38.6120665365362,0 -9.3527511703294,38.4426934987177,0 -9.20270244850034,38.3647108787688,0 -9.10275134743162,38.4430759341506,0</coordinates></LineString></MultiGeometry>",73 km,July 1996,Portugal Telecom,,
quintillion-subsea-cable-network,1862,"[{""landing_point_id"":16438,""name"":""Kotzebue, Alaska, United States"",""latlon"":""66.898342,-162.596669""},{""landing_point_id"":16437,""name"":""Nome, Alaska, United States"",""latlon"":""64.501114,-165.406409""},{""landing_point_id"":16440,""name"":""Point Hope, Alaska, United States"",""latlon"":""68.347768,-166.808068""},{""landing_point_id"":13390,""name"":""Prudhoe Bay, Alaska, United States"",""latlon"":""70.255640,-148.338448""},{""landing_point_id"":16441,""name"":""Utqiaġvik, Alaska, United States"",""latlon"":""71.290552,-156.788640""},{""landing_point_id"":16439,""name"":""Wainwright, Alaska, United States"",""latlon"":""70.636951,-160.038345""}]",Quintillion Subsea Cable Network,#bbac32,"<MultiGeometry><LineString><coordinates>-161.118561626755,71.2456302545814,0 -160.649811958822,70.8004544585576,0 -160.038342360255,70.6369465673712,0</coordinates></LineString><LineString><coordinates>-168.299806539494,68.1201411688025,0 -166.949807495846,67.4394931950777,0 -165.599808452198,67.0916860359008,0 -163.799809727334,66.9158853569067,0 -162.596681002005,66.8983401930192,0</coordinates></LineString><LineString><coordinates>-167.849806858278,68.6177675590817,0 -167.399807177062,68.4531018836152,0 -166.808058023509,68.3477716767877,0</coordinates></LineString><LineString><coordinates>-156.78863457937,71.2905573218961,0 -156.599814827878,71.3836954908997,0 -156.599814827878,71.6688723488942,0</coordinates></LineString><LineString><coordinates>-148.33844067543,70.2556459074321,0 -148.049820884774,70.5022766028282,0 -148.49982056599,70.8004544585576,0 -155.24981578423,71.6688723488942,0 -158.399813552742,71.6688723488942,0 -161.118561626755,71.2456302545814,0 -162.899810364902,70.8004544585576,0 -166.949807495846,69.1045950560622,0 -167.849806858278,68.6177675590817,0 -168.299806539494,68.1201411688025,0 -168.299806539494,66.0176094520798,0 -167.849806858278,64.8962822062035,0 -166.949807495846,64.3173900114443,0 -166.049808133414,64.3173900114443,0 -165.406398860207,64.5011113108121,0</coordinates></LineString></MultiGeometry>","1,900 km",December 2017,Quintillion,http://www.Qexpressnet.com,
arsat-submarine-fiber-optic-cable,1871,"[{""landing_point_id"":16514,""name"":""Cabo Espiritu Santo, Argentina"",""latlon"":""-52.658901,-68.605784""},{""landing_point_id"":16513,""name"":""Punta Dungeness, Argentina"",""latlon"":""-52.390224,-68.419749""}]",ARSAT Submarine Fiber Optic Cable,#e22926,"<MultiGeometry><LineString><coordinates>-68.419750342338,-52.3902152571569,0 -68.6057853667991,-52.6588938130765,0</coordinates></LineString></MultiGeometry>",40 km,Q2 2012,ARSAT,http://www.arsat.com.ar/,
xl-bali-lombok-submarine-cable-system,1867,"[{""landing_point_id"":16516,""name"":""Sengigi, Indonesia"",""latlon"":""-8.485460,116.047266""},{""landing_point_id"":16515,""name"":""Seraya, Indonesia"",""latlon"":""-8.386266,115.746680""}]",XL Bali Lombok Submarine Cable System,#36bca5,"<MultiGeometry><LineString><coordinates>115.746671926816,-8.38626108878637,0 116.047257651378,-8.48546887427354,0</coordinates></LineString></MultiGeometry>",50 km,January 2016,n.a.,,
pencan-9,1866,"[{""landing_point_id"":7777,""name"":""Chipiona, Spain"",""latlon"":""36.731303,-6.428872""},{""landing_point_id"":16517,""name"":""Tarahales, Spain"",""latlon"":""28.096371,-15.450743""}]",Pencan-9,#87c541,"<MultiGeometry><LineString><coordinates>-6.42887628850481,36.7312973671002,0 -7.19992066416472,36.5123882123937,0 -8.77491954842076,35.4197805170805,0 -10.7999181138927,33.9396400883196,0 -14.1749157230128,29.7360694972921,0 -15.4507448973284,28.0963745865179,0</coordinates></LineString></MultiGeometry>","1,398 km",n.a.,Telefonica,,
