year,cause,cause_label,sex,total,age_0,age_1,age_2,age_3,age_4,age_5,age_10,age_15,age_20,age_25,age_30,age_35,age_40,age_45,age_50,age_55,age_60,age_65,age_70,age_75,age_80,age_85
2016,G00-G99  6     Diseases of the nervous system                                                                                                                                                           ,Nervous,Male:,722,1,0,0,1,2,2,2,4,4,2,5,4,8,9,20,19,30,53,65,113,140,238
2016,G00-G99  6     Diseases of the nervous system                                                                                                                                                           ,Nervous,Female:,776,1,0,2,1,0,1,0,1,5,3,3,1,9,7,12,14,19,35,56,97,128,381
2016,H00-H59  7     Diseases of the eye and adnexa                                                                                                                                                           ,Other,Total:,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2016,H00-H59  7     Diseases of the eye and adnexa                                                                                                                                                           ,Other,Male:,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016,H00-H59  7     Diseases of the eye and adnexa                                                                                                                                                           ,Other,Female:,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016,H60-H95  8     Diseases of the ear and mastoid process                                                                                                                                                  ,Other,Total:,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
2016,H60-H95  8     Diseases of the ear and mastoid process                                                                                                                                                  ,Other,Male:,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2016,H60-H95  8     Diseases of the ear and mastoid process                                                                                                                                                  ,Other,Female:,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2016,I00-I99  9     Diseases of the circulatory system                                                                                                                                                       ,Circulatory,Total:,9806,1,1,0,1,0,2,2,2,5,14,20,30,66,144,211,316,401,622,724,1040,1522,4682
2016,I00-I99  9     Diseases of the circulatory system                                                                                                                                                       ,Circulatory,Male:,4921,0,1,0,1,0,0,1,1,5,12,14,24,43,107,144,231,284,413,470,602,803,1765
2016,I00-I99  9     Diseases of the circulatory system                                                                                                                                                       ,Circulatory,Female:,4885,1,0,0,0,0,2,1,1,0,2,6,6,23,37,67,85,117,209,254,438,719,2917
2016,J00-J99  10    Diseases of the respiratory system                                                                                                                                                       ,Respiratory,Total:,2902,3,2,2,0,0,3,4,1,4,3,1,5,7,17,40,86,109,204,263,360,492,1296
2016,J00-J99  10    Diseases of the respiratory system                                                                                                                                                       ,Respiratory,Male:,1408,1,1,1,0,0,1,1,0,2,2,0,1,4,8,19,44,58,93,141,195,258,578
2016,J00-J99  10    Diseases of the respiratory system                                                                                                                                                       ,Respiratory,Female:,1494,2,1,1,0,0,2,3,1,2,1,1,4,3,9,21,42,51,111,122,165,234,718
2016,K00-K93  11    Diseases of the digestive system                                                                                                                                                         ,Digestive,Total:,1010,1,0,1,0,0,1,0,0,0,2,7,7,14,17,31,39,36,56,91,137,162,408
2016,K00-K93  11    Diseases of the digestive system                                                                                                                                                         ,Digestive,Male:,498,0,0,1,0,0,0,0,0,0,0,4,3,8,13,20,25,23,34,46,80,81,160
2016,K00-K93  11    Diseases of the digestive system                                                                                                                                                         ,Digestive,Female:,512,1,0,0,0,0,1,0,0,0,2,3,4,6,4,11,14,13,22,45,57,81,248
2016,L00-L99  12    Diseases of the skin and subcutaneous tissue                                                                                                                                             ,Other,Total:,101,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,4,9,7,3,13,9,52
2016,L00-L99  12    Diseases of the skin and subcutaneous tissue                                                                                                                                             ,Other,Male:,43,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,6,2,1,5,4,21
2016,L00-L99  12    Diseases of the skin and subcutaneous tissue                                                                                                                                             ,Other,Female:,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,5,2,8,5,31
2016,M00-M99  13    Diseases of the musculoskeletal system and connective tissue                                                                                                                             ,Other,Total:,242,0,0,0,0,0,0,1,1,0,1,0,3,0,0,6,4,8,23,17,24,47,107
2016,M00-M99  13    Diseases of the musculoskeletal system and connective tissue                                                                                                                             ,Other,Male:,91,0,0,0,0,0,0,1,0,0,0,0,2,0,0,3,1,3,10,11,9,16,35
2016,M00-M99  13    Diseases of the musculoskeletal system and connective tissue                                                                                                                             ,Other,Female:,151,0,0,0,0,0,0,0,1,0,1,0,1,0,0,3,3,5,13,6,15,31,72
2016,N00-N99  14    Diseases of the genitourinary system                                                                                                                                                     ,Other,Total:,443,0,0,0,0,0,0,0,0,1,0,2,0,6,3,9,5,12,15,23,41,67,259
2016,N00-N99  14    Diseases of the genitourinary system                                                                                                                                                     ,Other,Male:,221,0,0,0,0,0,0,0,0,1,0,1,0,1,0,6,3,5,8,14,21,32,129
2016,N00-N99  14    Diseases of the genitourinary system                                                                                                                                                     ,Other,Female:,222,0,0,0,0,0,0,0,0,0,0,1,0,5,3,3,2,7,7,9,20,35,130
2016,"O00-O99  15    Pregnancy, childbirth and the puerperium                                                                                                                                                 ",Other,Total:,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"O00-O99  15    Pregnancy, childbirth and the puerperium                                                                                                                                                 ",Other,Female:,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,P00-P96  16    Certain conditions originating in the perinatal period                                                                                                                                   ,Perinatal,Total:,130,128,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2016,P00-P96  16    Certain conditions originating in the perinatal period                                                                                                                                   ,Perinatal,Male:,68,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,P00-P96  16    Certain conditions originating in the perinatal period                                                                                                                                   ,Perinatal,Female:,62,60,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2016,"Q00-Q99  17    Congenital malformations, deformations and chromosomal abnormalities                                                                                                                     ",Congenital,Total:,152,51,2,1,1,0,5,1,1,2,5,2,2,5,5,15,6,9,10,8,7,7,7
2016,"Q00-Q99  17    Congenital malformations, deformations and chromosomal abnormalities                                                                                                                     ",Congenital,Male:,77,25,1,1,1,0,3,1,1,1,3,2,1,2,5,8,2,2,5,6,1,3,3
2016,"Q00-Q99  17    Congenital malformations, deformations and chromosomal abnormalities                                                                                                                     ",Congenital,Female:,75,26,1,0,0,0,2,0,0,1,2,0,1,3,0,7,4,7,5,2,6,4,4
2016,"R00-R99  18    Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified                                                                                                  ",Other,Total:,343,25,5,0,0,0,1,0,2,5,4,4,8,8,10,13,17,26,12,22,18,27,136
2016,"R00-R99  18    Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified                                                                                                  ",Other,Male:,156,13,3,0,0,0,1,0,0,4,3,2,6,5,7,11,6,14,9,13,12,13,34
2016,"R00-R99  18    Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified                                                                                                  ",Other,Female:,187,12,2,0,0,0,0,0,2,1,1,2,2,3,3,2,11,12,3,9,6,14,102
2016,U50-Y98  20    External causes of morbidity and mortality,External causes,Total:,1930,21,5,4,2,1,8,20,100,134,132,99,86,123,121,118,114,95,79,72,71,120,405
2016,U50-Y98  20    External causes of morbidity and mortality,External causes,Male:,1243,13,4,1,2,1,6,14,72,99,103,76,60,88,84,94,81,75,62,52,46,51,159
2016,U50-Y98  20    External causes of morbidity and mortality,External causes,Female:,687,8,1,3,0,0,2,6,28,35,29,23,26,35,37,24,33,20,17,20,25,69,246
2015,A00-B99  1     Certain infectious and parasitic diseases                                                                                                                                                ,Other,Total:,316,4,0,1,0,0,0,0,1,0,0,1,1,6,15,10,12,18,21,27,33,45,121
2015,A00-B99  1     Certain infectious and parasitic diseases                                                                                                                                                ,Other,Male:,162,1,0,1,0,0,0,0,1,0,0,1,1,1,11,7,11,9,16,15,18,19,50
2015,A00-B99  1     Certain infectious and parasitic diseases                                                                                                                                                ,Other,Female:,154,3,0,0,0,0,0,0,0,0,0,0,0,5,4,3,1,9,5,12,15,26,71
2015,C00-D48  2     Neoplasms                                                                                                                                                                                ,Cancer,Total:,9702,5,1,1,0,5,7,6,14,11,26,35,61,124,272,437,632,835,1174,1318,1384,1449,1905
2015,C00-D48  2     Neoplasms                                                                                                                                                                                ,Cancer,Male:,5144,1,1,1,0,3,6,4,11,4,11,14,24,50,109,192,326,459,652,750,762,788,976
2015,C00-D48  2     Neoplasms                                                                                                                                                                                ,Cancer,Female:,4558,4,0,0,0,2,1,2,3,7,15,21,37,74,163,245,306,376,522,568,622,661,929
2015,D50-D89  3     Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism                                                                                      ,Other,Total:,62,1,0,0,0,0,0,0,2,0,0,2,0,2,0,1,2,2,1,5,10,12,22
2015,D50-D89  3     Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism                                                                                      ,Other,Male:,35,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,2,1,4,5,6,12
2015,D50-D89  3     Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism                                                                                      ,Other,Female:,27,1,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,1,5,6,10
2015,"E00-E89  4     Endocrine, nutritional and metabolic diseases                                                                                                                                            ",Endocrine,Total:,1097,6,0,1,1,1,1,2,3,4,6,9,8,19,28,47,54,79,120,139,147,156,266
2015,"E00-E89  4     Endocrine, nutritional and metabolic diseases                                                                                                                                            ",Endocrine,Male:,541,4,0,0,0,1,0,0,2,4,3,5,2,9,16,27,28,43,67,79,76,69,106
2015,"E00-E89  4     Endocrine, nutritional and metabolic diseases                                                                                                                                            ",Endocrine,Female:,556,2,0,1,1,0,1,2,1,0,3,4,6,10,12,20,26,36,53,60,71,87,160
2015,F00-F99  5     Mental and behavioural disorders                                                                                                                                                         ,Mental,Total:,1822,0,0,0,0,0,0,0,1,3,1,0,3,2,4,3,7,12,23,72,178,291,1222
2015,F00-F99  5     Mental and behavioural disorders                                                                                                                                                         ,Mental,Male:,677,0,0,0,0,0,0,0,1,1,1,0,3,1,3,2,4,7,13,37,97,121,386
2015,F00-F99  5     Mental and behavioural disorders                                                                                                                                                         ,Mental,Female:,1145,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,3,5,10,35,81,170,836
2015,G00-G99  6     Diseases of the nervous system                                                                                                                                                           ,Nervous,Total:,1400,4,2,1,1,0,1,3,7,10,6,5,3,10,14,30,34,44,85,131,177,249,583
2015,G00-G99  6     Diseases of the nervous system                                                                                                                                                           ,Nervous,Male:,671,3,1,1,0,0,0,0,6,6,5,3,2,8,9,19,18,24,51,70,99,131,215
2015,G00-G99  6     Diseases of the nervous system                                                                                                                                                           ,Nervous,Female:,729,1,1,0,1,0,1,3,1,4,1,2,1,2,5,11,16,20,34,61,78,118,368
2015,I00-I99  9     Diseases of the circulatory system                                                                                                                                                       ,Circulatory,Total:,10253,2,0,1,0,0,0,2,4,6,10,28,40,74,135,185,299,392,589,788,1124,1754,4820
2015,I00-I99  9     Diseases of the circulatory system                                                                                                                                                       ,Circulatory,Male:,5000,1,0,0,0,0,0,2,2,5,5,22,24,52,91,127,209,284,380,512,620,882,1782
2015,I00-I99  9     Diseases of the circulatory system                                                                                                                                                       ,Circulatory,Female:,5253,1,0,1,0,0,0,0,2,1,5,6,16,22,44,58,90,108,209,276,504,872,3038
2015,J00-J99  10    Diseases of the respiratory system                                                                                                                                                       ,Respiratory,Total:,2970,4,2,2,0,1,3,1,1,1,5,4,4,5,17,47,60,116,200,290,403,468,1336
2015,J00-J99  10    Diseases of the respiratory system                                                                                                                                                       ,Respiratory,Male:,1434,3,0,0,0,1,1,1,1,1,3,2,3,2,8,23,27,56,106,157,221,245,573
2015,J00-J99  10    Diseases of the respiratory system                                                                                                                                                       ,Respiratory,Female:,1536,1,2,2,0,0,2,0,0,0,2,2,1,3,9,24,33,60,94,133,182,223,763
2015,K00-K93  11    Diseases of the digestive system                                                                                                                                                         ,Digestive,Total:,951,1,0,0,0,0,1,0,0,0,3,3,1,11,13,22,30,51,78,90,126,137,384
2015,K00-K93  11    Diseases of the digestive system                                                                                                                                                         ,Digestive,Male:,457,0,0,0,0,0,1,0,0,0,2,0,1,6,8,16,21,27,48,55,70,67,135
2015,K00-K93  11    Diseases of the digestive system                                                                                                                                                         ,Digestive,Female:,494,1,0,0,0,0,0,0,0,0,1,3,0,5,5,6,9,24,30,35,56,70,249
2015,L00-L99  12    Diseases of the skin and subcutaneous tissue                                                                                                                                             ,Other,Total:,112,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,1,2,7,9,10,19,59
2015,L00-L99  12    Diseases of the skin and subcutaneous tissue                                                                                                                                             ,Other,Male:,51,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,3,7,5,10,22
2015,L00-L99  12    Diseases of the skin and subcutaneous tissue                                                                                                                                             ,Other,Female:,61,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,2,5,9,37
2015,M00-M99  13    Diseases of the musculoskeletal system and connective tissue                                                                                                                             ,Other,Total:,223,0,0,0,0,0,0,0,0,1,0,0,2,2,2,11,10,9,16,23,23,39,85
2015,M00-M99  13    Diseases of the musculoskeletal system and connective tissue                                                                                                                             ,Other,Male:,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,9,7,11,12,19
2015,M00-M99  13    Diseases of the musculoskeletal system and connective tissue                                                                                                                             ,Other,Female:,152,0,0,0,0,0,0,0,0,1,0,0,2,2,2,8,6,3,7,16,12,27,66
2015,N00-N99  14    Diseases of the genitourinary system                                                                                                                                                     ,Other,Total:,455,0,0,0,0,0,0,0,0,1,0,2,0,5,3,6,6,6,16,22,43,71,274
2015,N00-N99  14    Diseases of the genitourinary system                                                                                                                                                     ,Other,Male:,225,0,0,0,0,0,0,0,0,1,0,0,0,2,1,5,4,6,4,12,24,42,124
2015,N00-N99  14    Diseases of the genitourinary system                                                                                                                                                     ,Other,Female:,230,0,0,0,0,0,0,0,0,0,0,2,0,3,2,1,2,0,12,10,19,29,150
2015,"O00-O99  15    Pregnancy, childbirth and the puerperium                                                                                                                                                 ",Other,Total:,6,0,0,0,0,0,0,0,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0
2015,"O00-O99  15    Pregnancy, childbirth and the puerperium                                                                                                                                                 ",Other,Female:,6,0,0,0,0,0,0,0,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0
2015,P00-P96  16    Certain conditions originating in the perinatal period                                                                                                                                   ,Perinatal,Total:,128,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,P00-P96  16    Certain conditions originating in the perinatal period                                                                                                                                   ,Perinatal,Male:,72,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,P00-P96  16    Certain conditions originating in the perinatal period                                                                                                                                   ,Perinatal,Female:,56,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"Q00-Q99  17    Congenital malformations, deformations and chromosomal abnormalities                                                                                                                     ",Congenital,Total:,182,69,7,0,0,1,3,1,8,7,2,4,7,4,7,12,14,9,10,7,4,4,2
2015,"Q00-Q99  17    Congenital malformations, deformations and chromosomal abnormalities                                                                                                                     ",Congenital,Male:,93,34,5,0,0,1,3,0,5,5,0,2,4,0,3,7,5,5,7,2,2,1,2
2015,"Q00-Q99  17    Congenital malformations, deformations and chromosomal abnormalities                                                                                                                     ",Congenital,Female:,89,35,2,0,0,0,0,1,3,2,2,2,3,4,4,5,9,4,3,5,2,3,0
2015,"R00-R99  18    Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified                                                                                                  ",Other,Total:,199,17,1,0,0,2,0,0,1,1,4,2,2,3,6,9,8,10,9,10,8,17,89
2015,"R00-R99  18    Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified                                                                                                  ",Other,Male:,86,10,1,0,0,1,0,0,1,1,3,1,2,2,5,6,5,8,5,6,6,5,18
2015,"R00-R99  18    Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified                                                                                                  ",Other,Female:,113,7,0,0,0,1,0,0,0,0,1,1,0,1,1,3,3,2,4,4,2,12,71
2015,U50-Y98  20    External causes of morbidity and mortality,External causes,Total:,1918,25,10,6,6,3,14,21,105,145,112,85,86,101,108,123,103,90,80,89,92,117,397
2015,U50-Y98  20    External causes of morbidity and mortality,External causes,Male:,1210,13,6,4,4,0,8,15,69,109,90,62,64,77,77,91,75,64,49,60,54,62,157
2015,U50-Y98  20    External causes of morbidity and mortality,External causes,Female:,708,12,4,2,2,3,6,6,36,36,22,23,22,24,31,32,28,26,31,29,38,55,240
2014,A00-B99  1     Certain infectious and parasitic diseases                                                                                                                                                ,Other,Total:,361,6,4,2,1,0,0,0,3,0,1,3,3,10,10,10,17,23,24,21,28,55,140
2014,A00-B99  1     Certain infectious and parasitic diseases                                                                                                                                                ,Other,Male:,181,4,2,2,0,0,0,0,0,0,1,0,2,8,6,7,13,14,17,9,18,20,58
2014,A00-B99  1     Certain infectious and parasitic diseases                                                                                                                                                ,Other,Female:,180,2,2,0,1,0,0,0,3,0,0,3,1,2,4,3,4,9,7,12,10,35,82
2014,C00-D48  2     Neoplasms                                                                                                                                                                                ,Cancer,Total:,9354,3,3,1,0,2,13,6,11,17,21,36,56,126,228,410,609,821,1089,1307,1336,1366,1893
2014,C00-D48  2     Neoplasms                                                                                                                                                                                ,Cancer,Male:,4941,1,3,1,0,2,8,4,9,8,11,17,22,50,100,189,283,410,610,762,764,760,927
2014,C00-D48  2     Neoplasms                                                                                                                                                                                ,Cancer,Female:,4413,2,0,0,0,0,5,2,2,9,10,19,34,76,128,221,326,411,479,545,572,606,966
2014,D50-D89  3     Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism                                                                                      ,Other,Total:,68,3,2,0,0,0,1,0,0,1,0,1,1,0,0,3,5,0,4,7,7,7,26
2014,D50-D89  3     Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism                                                                                      ,Other,Male:,31,1,2,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,4,1,1,4,13
2014,D50-D89  3     Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism                                                                                      ,Other,Female:,37,2,0,0,0,0,0,0,0,1,0,1,1,0,0,1,3,0,0,6,6,3,13
2014,"E00-E89  4     Endocrine, nutritional and metabolic diseases                                                                                                                                            ",Endocrine,Total:,1062,3,0,0,1,0,3,1,1,2,3,2,9,16,18,50,59,82,100,116,149,152,295
2014,"E00-E89  4     Endocrine, nutritional and metabolic diseases                                                                                                                                            ",Endocrine,Male:,569,3,0,0,1,0,3,1,1,1,1,1,7,7,15,34,41,52,57,65,83,78,118
2014,"E00-E89  4     Endocrine, nutritional and metabolic diseases                                                                                                                                            ",Endocrine,Female:,493,0,0,0,0,0,0,0,0,1,2,1,2,9,3,16,18,30,43,51,66,74,177
2014,F00-F99  5     Mental and behavioural disorders                                                                                                                                                         ,Mental,Total:,1560,0,1,0,0,0,0,0,0,2,1,1,1,1,5,4,7,10,27,50,124,291,1035
2014,F00-F99  5     Mental and behavioural disorders                                                                                                                                                         ,Mental,Male:,586,0,0,0,0,0,0,0,0,1,1,0,0,1,3,4,7,5,18,27,61,126,332
2014,F00-F99  5     Mental and behavioural disorders                                                                                                                                                         ,Mental,Female:,974,0,1,0,0,0,0,0,0,1,0,1,1,0,2,0,0,5,9,23,63,165,703
2014,G00-G99  6     Diseases of the nervous system                                                                                                                                                           ,Nervous,Total:,1325,5,0,1,2,0,2,2,5,11,9,11,9,9,20,32,34,57,88,102,172,246,508
2014,G00-G99  6     Diseases of the nervous system                                                                                                                                                           ,Nervous,Male:,630,1,0,0,2,0,2,1,5,8,4,9,7,6,14,16,16,28,48,51,92,128,192
2014,G00-G99  6     Diseases of the nervous system                                                                                                                                                           ,Nervous,Female:,695,4,0,1,0,0,0,1,0,3,5,2,2,3,6,16,18,29,40,51,80,118,316
2014,I00-I99  9     Diseases of the circulatory system                                                                                                                                                       ,Circulatory,Total:,10363,6,0,0,0,1,0,1,4,5,7,12,38,84,140,265,276,402,585,736,1144,1778,4879
2014,I00-I99  9     Diseases of the circulatory system                                                                                                                                                       ,Circulatory,Male:,5138,2,0,0,0,0,0,1,2,5,4,7,28,59,99,189,188,278,416,469,629,905,1857
2014,I00-I99  9     Diseases of the circulatory system                                                                                                                                                       ,Circulatory,Female:,5225,4,0,0,0,1,0,0,2,0,3,5,10,25,41,76,88,124,169,267,515,873,3022
2014,J00-J99  10    Diseases of the respiratory system                                                                                                                                                       ,Respiratory,Total:,2913,7,2,1,1,1,1,1,2,1,2,2,6,12,25,39,76,103,210,293,370,509,1249
2014,J00-J99  10    Diseases of the respiratory system                                                                                                                                                       ,Respiratory,Male:,1410,4,0,0,1,0,1,1,1,1,1,2,5,7,14,19,33,53,110,153,202,259,543
2014,J00-J99  10    Diseases of the respiratory system                                                                                                                                                       ,Respiratory,Female:,1503,3,2,1,0,1,0,0,1,0,1,0,1,5,11,20,43,50,100,140,168,250,706
2014,K00-K93  11    Diseases of the digestive system                                                                                                                                                         ,Digestive,Total:,969,0,0,0,1,0,0,0,0,1,1,4,7,9,18,26,33,48,76,74,108,162,401
2014,K00-K93  11    Diseases of the digestive system                                                                                                                                                         ,Digestive,Male:,461,0,0,0,1,0,0,0,0,0,0,2,5,3,8,12,23,30,49,40,57,80,151
2014,K00-K93  11    Diseases of the digestive system                                                                                                                                                         ,Digestive,Female:,508,0,0,0,0,0,0,0,0,1,1,2,2,6,10,14,10,18,27,34,51,82,250
2014,L00-L99  12    Diseases of the skin and subcutaneous tissue                                                                                                                                             ,Other,Total:,107,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7,5,4,8,6,18,55
2014,L00-L99  12    Diseases of the skin and subcutaneous tissue                                                                                                                                             ,Other,Male:,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,2,3,3,6,18
2014,L00-L99  12    Diseases of the skin and subcutaneous tissue                                                                                                                                             ,Other,Female:,70,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,4,2,5,3,12,37
2014,M00-M99  13    Diseases of the musculoskeletal system and connective tissue                                                                                                                             ,Other,Total:,233,0,0,0,0,0,0,1,0,0,0,1,4,3,1,11,7,13,18,17,29,42,86
2014,M00-M99  13    Diseases of the musculoskeletal system and connective tissue                                                                                                                             ,Other,Male:,69,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,2,5,5,9,11,18,13
2014,M00-M99  13    Diseases of the musculoskeletal system and connective tissue                                                                                                                             ,Other,Female:,164,0,0,0,0,0,0,1,0,0,0,1,3,1,1,8,5,8,13,8,18,24,73
2014,N00-N99  14    Diseases of the genitourinary system                                                                                                                                                     ,Other,Total:,448,0,0,0,0,0,0,0,0,0,2,1,4,1,3,4,7,10,10,22,39,93,252
2014,N00-N99  14    Diseases of the genitourinary system                                                                                                                                                     ,Other,Male:,207,0,0,0,0,0,0,0,0,0,0,1,2,0,1,3,5,4,2,10,16,51,112
2014,N00-N99  14    Diseases of the genitourinary system                                                                                                                                                     ,Other,Female:,241,0,0,0,0,0,0,0,0,0,2,0,2,1,2,1,2,6,8,12,23,42,140
2014,"O00-O99  15    Pregnancy, childbirth and the puerperium                                                                                                                                                 ",Other,Total:,3,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
2014,"O00-O99  15    Pregnancy, childbirth and the puerperium                                                                                                                                                 ",Other,Female:,3,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
2014,P00-P96  16    Certain conditions originating in the perinatal period                                                                                                                                   ,Perinatal,Total:,175,173,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2014,P00-P96  16    Certain conditions originating in the perinatal period                                                                                                                                   ,Perinatal,Male:,91,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2014,P00-P96  16    Certain conditions originating in the perinatal period                                                                                                                                   ,Perinatal,Female:,84,83,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"Q00-Q99  17    Congenital malformations, deformations and chromosomal abnormalities                                                                                                                     ",Congenital,Total:,177,70,6,0,0,2,4,0,6,5,4,3,3,5,10,6,12,11,13,8,4,2,3
2014,"Q00-Q99  17    Congenital malformations, deformations and chromosomal abnormalities                                                                                                                     ",Congenital,Male:,109,41,1,0,0,1,2,0,5,3,3,1,2,4,7,5,5,10,8,5,4,1,1
