Station,Day(Local_Date),Rain(mm),Tmean(C),Tmax(C),Tmin(C),Tgmin(C),VapPress(hPa)
5451,2014 Jan 04,0.0,14.9,19.7,10.0,4.1,8.7
11104,2014 Jan 05,9.8,13.0,18.2,7.8,3.5,12.1
18183,2014 Jan 05,0.8,20.3,24.7,14.8,12.4,21.4
1962,2014 Jan 05,3.0,20.9,24.2,17.5,15.3,19.8
2283,2014 Jan 05,19.6,18.1,21.1,15.0,12.9,19.0
24120,2014 Jan 05,0.6,20.1,26.9,13.4,-,10.3
24976,2014 Jan 05,0.0,24.1,28.6,18.7,14.4,17.2
3445,2014 Jan 05,11.7,20.8,24.5,17.0,-,16.7
4271,2014 Jan 05,14.0,18.9,22.7,15.0,9.7,14.7
5451,2014 Jan 05,6.6,13.5,18.0,9.0,5.7,9.8
11104,2014 Jan 06,3.6,13.2,15.9,10.5,9.9,12.1
18183,2014 Jan 06,0.0,18.6,26.2,11.9,9.5,15.0
1962,2014 Jan 06,0.0,18.9,22.2,15.5,12.7,13.9
2283,2014 Jan 06,0.0,16.1,20.3,11.9,8.3,14.2
24120,2014 Jan 06,0.0,17.2,25.2,10.9,-,10.6
24976,2014 Jan 06,0.0,19.9,26.8,12.7,10.1,12.2
3445,2014 Jan 06,0.0,18.2,21.3,15.1,-,12.7
4271,2014 Jan 06,0.0,17.3,23.2,11.4,7.5,12.4
5451,2014 Jan 06,0.0,14.9,19.1,10.7,4.8,8.1
11104,2014 Jan 07,10.2,13.9,16.6,11.1,9.8,12.7
18183,2014 Jan 07,2.0,19.1,24.6,13.4,9.7,19.1
1962,2014 Jan 07,0.0,18.5,25.2,11.7,9.3,17.0
2283,2014 Jan 07,5.8,14.3,20.3,8.3,6.1,15.2
24120,2014 Jan 07,0.3,17.9,24.7,13.6,-,13.2
24976,2014 Jan 07,0.0,20.3,29.4,10.6,8.0,12.7
3445,2014 Jan 07,0.0,17.4,19.3,15.4,-,14.5
4271,2014 Jan 07,4.0,15.3,17.7,12.8,10.5,13.9
5451,2014 Jan 07,7.8,11.6,14.6,8.6,4.8,10.6
11104,2014 Jan 08,4.8,11.3,13.6,9.0,7.4,11.2
18183,2014 Jan 08,0.6,18.8,22.2,15.5,13.4,16.7
1962,2014 Jan 08,0.0,20.4,23.7,17.1,15.2,15.7
2283,2014 Jan 08,4.8,17.4,20.5,14.2,12.7,15.5
24120,2014 Jan 08,0.0,15.7,21.2,11.7,-,9.9
24976,2014 Jan 08,0.0,22.5,28.4,17.8,14.9,13.3
3445,2014 Jan 08,5.6,16.5,21.3,11.7,-,14.1
4271,2014 Jan 08,6.0,17.1,22.1,12.0,10.1,13.6
5451,2014 Jan 08,2.4,11.2,14.4,8.0,6.3,9.5
11104,2014 Jan 09,0.4,11.4,14.2,8.6,6.9,11.0
18183,2014 Jan 09,2.8,16.2,19.7,13.1,10.4,13.2
1962,2014 Jan 09,1.2,17.3,20.4,14.2,11.8,13.6
2283,2014 Jan 09,0.6,15.3,20.2,10.3,8.0,13.0
24120,2014 Jan 09,0.0,13.8,17.8,10.5,-,9.4
24976,2014 Jan 09,12.6,15.0,20.0,10.0,6.9,12.3
3445,2014 Jan 09,2.0,14.1,16.7,11.4,-,11.6
4271,2014 Jan 09,0.6,15.4,20.4,10.4,9.4,13.1
5451,2014 Jan 09,0.0,11.8,16.5,7.1,4.6,8.6
11104,2014 Jan 10,0.8,12.4,13.7,11.1,10.2,12.4
18183,2014 Jan 10,0.0,17.6,23.1,12.3,9.5,13.7
1962,2014 Jan 10,0.0,17.1,21.9,12.2,9.0,14.1
2283,2014 Jan 10,0.0,14.2,20.1,8.3,5.6,13.2
24120,2014 Jan 10,0.0,15.5,22.6,7.7,-,11.0
24976,2014 Jan 10,0.3,15.8,22.8,7.4,5.1,11.4
3445,2014 Jan 10,0.0,15.8,20.1,11.4,-,13.0
4271,2014 Jan 10,0.0,16.7,21.6,11.8,10.1,14.7
5451,2014 Jan 10,0.0,13.9,20.9,6.8,3.0,10.9
11104,2014 Jan 11,0.2,14.5,17.6,11.4,10.6,12.8
18183,2014 Jan 11,0.0,16.9,22.1,11.6,8.1,13.8
1962,2014 Jan 11,0.0,18.4,22.1,14.6,11.2,14.8
2283,2014 Jan 11,0.0,17.3,19.9,14.7,12.9,15.4
24120,2014 Jan 11,0.0,15.8,20.1,10.8,-,13.1
24976,2014 Jan 11,0.0,17.1,24.1,10.2,8.1,14.1
3445,2014 Jan 11,0.0,17.2,22.0,12.4,-,14.0
4271,2014 Jan 11,0.0,18.9,22.1,15.6,13.4,15.4
5451,2014 Jan 11,0.0,15.9,25.2,6.6,3.1,9.7
11104,2014 Jan 12,15.8,13.3,16.2,10.4,9.6,11.9
18183,2014 Jan 12,0.0,17.2,22.0,12.3,9.7,14.0
1962,2014 Jan 12,1.0,18.7,22.1,15.3,13.5,15.2
2283,2014 Jan 12,0.0,16.4,19.0,13.8,12.8,14.7
24120,2014 Jan 12,0.0,18.5,26.8,11.1,-,11.6
24976,2014 Jan 12,0.0,19.5,26.1,12.0,11.0,14.0
3445,2014 Jan 12,0.0,18.0,20.1,15.8,-,14.0
4271,2014 Jan 12,0.0,18.0,24.4,11.5,7.8,13.4
5451,2014 Jan 12,13.2,15.5,19.5,11.4,7.7,10.3
11104,2014 Jan 13,5.2,9.8,13.0,6.6,2.2,9.1
18183,2014 Jan 13,0.0,18.7,22.5,14.2,12.0,15.8
1962,2014 Jan 13,0.4,20.6,24.3,16.8,14.4,15.6
2283,2014 Jan 13,4.0,17.0,20.3,13.6,10.9,15.3
24120,2014 Jan 13,0.0,14.2,19.2,9.1,-,10.7
24976,2014 Jan 13,0.0,20.8,27.1,14.9,13.1,13.6
3445,2014 Jan 13,0.0,17.8,21.8,13.7,-,13.8
4271,2014 Jan 13,0.0,17.2,21.7,12.7,9.1,10.7
5451,2014 Jan 13,0.0,12.9,16.0,9.8,6.7,6.5
11104,2014 Jan 14,4.8,10.2,13.7,6.6,2.3,9.2
18183,2014 Jan 14,0.0,18.1,22.1,13.8,9.9,14.4
1962,2014 Jan 14,0.0,18.9,21.4,16.4,14.5,13.6
2283,2014 Jan 14,0.0,15.9,19.7,12.1,9.2,11.9
24120,2014 Jan 14,0.0,15.0,23.1,7.1,-,9.1
24976,2014 Jan 14,0.0,19.4,24.6,14.8,14.0,12.8
3445,2014 Jan 14,0.0,15.0,19.7,10.3,-,10.7
4271,2014 Jan 14,0.0,16.6,21.0,12.1,8.9,8.4
5451,2014 Jan 14,0.0,13.5,17.9,9.1,4.8,6.7
11104,2014 Jan 15,0.0,16.2,24.4,8.0,6.0,12.2
18183,2014 Jan 15,0.0,18.6,24.0,14.4,13.0,14.4
1962,2014 Jan 15,0.0,18.4,22.4,14.4,10.4,13.9
2283,2014 Jan 15,0.0,13.4,18.9,7.9,5.5,13.0
24120,2014 Jan 15,0.0,16.4,20.9,10.1,-,11.6
24976,2014 Jan 15,0.0,18.5,25.5,11.1,9.1,13.0
3445,2014 Jan 15,0.0,17.1,20.6,13.5,-,13.1
4271,2014 Jan 15,0.0,15.1,21.1,9.0,5.3,12.1
5451,2014 Jan 15,0.0,14.6,25.6,3.6,0.2,9.8
11104,2014 Jan 16,4.8,13.7,18.6,8.8,6.7,13.0
18183,2014 Jan 16,0.0,17.8,22.8,12.3,11.0,14.3
1962,2014 Jan 16,0.0,18.3,21.1,15.5,12.0,15.1
2283,2014 Jan 16,0.0,17.6,19.8,15.3,13.8,16.2
24120,2014 Jan 16,0.0,19.4,32.2,11.9,-,12.2
24976,2014 Jan 16,0.0,23.7,31.6,16.5,14.8,13.9
3445,2014 Jan 16,1.2,18.3,21.3,15.2,-,15.6
4271,2014 Jan 16,0.0,19.0,24.9,13.0,9.6,13.9
5451,2014 Jan 16,0.6,17.3,24.5,10.1,7.6,10.9
11104,2014 Jan 17,2.6,9.9,12.6,7.2,4.5,8.6
18183,2014 Jan 17,0.0,18.7,22.8,15.3,13.6,16.7
1962,2014 Jan 17,0.8,19.1,21.3,16.8,15.6,16.0
2283,2014 Jan 17,0.8,16.0,19.0,13.0,10.4,13.4
24120,2014 Jan 17,0.0,13.9,18.1,8.7,-,9.0
24976,2014 Jan 17,0.8,19.0,22.8,12.3,11.5,14.1
3445,2014 Jan 17,1.4,14.5,17.3,11.7,-,11.6
4271,2014 Jan 17,0.0,16.0,20.5,11.5,5.7,8.6
5451,2014 Jan 17,0.0,11.2,14.2,8.1,3.8,6.5
11104,2014 Jan 18,0.0,12.3,18.4,6.1,3.3,9.0
18183,2014 Jan 18,0.0,18.4,23.5,14.2,12.0,14.2
1962,2014 Jan 18,0.0,18.3,21.5,15.1,10.1,12.6
2283,2014 Jan 18,0.0,12.7,18.7,6.6,2.9,11.9
24120,2014 Jan 18,0.0,13.7,20.2,8.2,-,9.2
24976,2014 Jan 18,0.0,14.6,20.9,7.6,5.6,9.7
3445,2014 Jan 18,0.0,14.9,17.4,12.3,-,10.6
4271,2014 Jan 18,0.0,13.7,20.0,7.3,1.7,11.8
5451,2014 Jan 18,0.0,12.4,22.6,2.1,-1.0,6.7
11104,2014 Jan 19,0.0,14.4,16.5,12.3,10.9,12.4
18183,2014 Jan 19,0.0,17.9,23.2,10.9,9.2,15.9
1962,2014 Jan 19,0.0,17.5,23.7,11.3,8.3,15.1
2283,2014 Jan 19,0.0,13.6,20.0,7.2,4.7,14.2
24120,2014 Jan 19,0.0,20.9,33.4,12.5,-,11.3
24976,2014 Jan 19,0.0,20.8,30.1,9.3,7.7,12.3
3445,2014 Jan 19,0.0,17.7,20.3,15.1,-,14.1
4271,2014 Jan 19,0.0,16.9,23.1,10.7,6.6,14.0
5451,2014 Jan 19,8.2,16.3,21.8,10.7,8.6,10.9
11104,2014 Jan 20,0.2,13.2,15.6,10.7,9.5,11.2
18183,2014 Jan 20,22.0,19.6,22.7,17.8,17.4,21.7
1962,2014 Jan 20,2.0,19.5,22.3,16.7,15.5,17.7
2283,2014 Jan 20,15.0,15.1,17.9,12.2,10.3,16.1
24120,2014 Jan 20,2.0,15.0,18.6,12.2,-,12.3
24976,2014 Jan 20,3.5,20.3,25.9,15.7,15.7,14.8
3445,2014 Jan 20,0.0,17.2,19.3,15.1,-,15.0
4271,2014 Jan 20,0.0,16.6,21.4,11.8,6.7,13.2
5451,2014 Jan 20,0.0,15.1,22.0,8.2,3.8,9.5
11104,2014 Jan 21,0.0,13.5,17.5,9.4,5.7,12.0
18183,2014 Jan 21,5.2,18.9,21.5,16.7,15.4,19.1
1962,2014 Jan 21,7.6,19.7,21.5,17.9,16.2,19.9
2283,2014 Jan 21,7.2,17.0,20.4,13.6,10.3,16.1
24120,2014 Jan 21,7.7,14.4,17.7,12.3,-,14.0
24976,2014 Jan 21,8.9,19.2,24.3,15.3,14.4,19.1
3445,2014 Jan 21,13.5,14.8,16.0,13.6,-,15.3
4271,2014 Jan 21,11.0,18.9,24.4,13.4,12.5,15.8
5451,2014 Jan 21,0.0,14.7,20.9,8.5,5.2,11.6
11104,2014 Jan 22,1.8,11.3,17.8,4.8,1.9,10.6
18183,2014 Jan 22,0.0,19.0,23.5,15.7,12.9,19.3
1962,2014 Jan 22,0.0,21.5,25.5,17.4,15.5,18.3
2283,2014 Jan 22,1.4,16.3,19.0,13.6,10.9,17.5
24120,2014 Jan 22,0.0,17.0,25.4,12.7,-,12.1
24976,2014 Jan 22,0.0,20.4,27.6,12.2,9.9,15.0
3445,2014 Jan 22,0.3,16.7,20.0,13.4,-,15.3
4271,2014 Jan 22,0.0,19.2,23.0,15.3,12.0,15.6
5451,2014 Jan 22,4.4,13.4,19.3,7.5,3.7,9.7
11104,2014 Jan 23,17.2,10.2,13.0,7.4,6.2,10.2
18183,2014 Jan 23,0.0,18.0,22.4,14.9,12.7,14.5
1962,2014 Jan 23,0.6,19.0,21.7,16.3,14.3,14.2
2283,2014 Jan 23,0.4,15.7,19.7,11.7,7.8,12.8
24120,2014 Jan 23,0.4,16.1,26.3,8.8,-,7.5
24976,2014 Jan 23,0.0,21.6,26.7,14.9,11.3,11.5
3445,2014 Jan 23,0.0,17.0,20.3,13.6,-,10.6
4271,2014 Jan 23,0.0,16.0,20.5,11.4,4.7,9.1
5451,2014 Jan 23,1.2,11.0,15.0,7.0,4.5,8.0
11104,2014 Jan 24,1.2,12.5,15.7,9.2,5.6,10.3
18183,2014 Jan 24,0.0,18.0,24.0,12.0,8.8,14.1
1962,2014 Jan 24,0.0,19.1,22.5,15.7,12.2,14.3
2283,2014 Jan 24,0.0,15.1,19.2,10.9,7.7,14.5
24120,2014 Jan 24,0.0,14.0,20.5,6.1,-,11.2
24976,2014 Jan 24,0.0,17.9,25.0,10.1,7.7,11.4
3445,2014 Jan 24,0.0,17.9,21.9,13.9,-,12.3
4271,2014 Jan 24,0.0,18.0,23.8,12.1,5.5,11.7
5451,2014 Jan 24,0.0,14.6,19.9,9.3,5.5,8.9
11104,2014 Jan 25,0.0,12.4,18.9,5.8,1.6,11.3
18183,2014 Jan 25,0.0,18.5,23.1,12.2,11.2,15.9
1962,2014 Jan 25,0.0,19.3,25.5,13.1,8.6,15.2
2283,2014 Jan 25,0.0,14.2,20.5,7.9,5.9,14.4
24120,2014 Jan 25,0.0,16.6,21.4,13.1,-,14.2
24976,2014 Jan 25,0.0,18.6,26.3,10.7,8.8,14.1
3445,2014 Jan 25,0.0,17.6,20.9,14.2,-,13.4
4271,2014 Jan 25,0.0,16.5,21.4,11.6,5.3,13.8
5451,2014 Jan 25,0.0,14.8,22.9,6.6,4.0,9.0
11104,2014 Jan 26,2.4,13.5,17.5,9.5,6.6,10.4
18183,2014 Jan 26,3.4,19.5,21.5,17.5,17.0,20.8
1962,2014 Jan 26,23.4,20.7,23.7,17.6,16.4,20.3
2283,2014 Jan 26,4.4,16.7,19.4,14.0,12.3,17.3
24120,2014 Jan 26,2.5,16.8,22.5,7.9,-,11.6
24976,2014 Jan 26,1.7,21.3,28.8,13.3,11.2,18.0
3445,2014 Jan 26,12.1,18.8,21.8,15.8,-,15.4
4271,2014 Jan 26,27.2,16.5,20.2,12.7,7.1,16.3
5451,2014 Jan 26,2.4,13.9,18.6,9.1,5.9,9.8
11104,2014 Jan 27,0.0,11.8,15.8,7.8,4.8,11.9
18183,2014 Jan 27,0.0,17.4,20.8,13.6,11.7,12.5
1962,2014 Jan 27,0.0,17.6,20.2,14.9,12.0,13.5
2283,2014 Jan 27,0.0,14.1,20.4,7.7,4.8,11.9
24120,2014 Jan 27,1.7,12.7,18.8,7.6,-,9.5
24976,2014 Jan 27,13.8,16.9,21.0,13.4,13.3,16.2
3445,2014 Jan 27,1.7,13.8,16.4,11.1,-,10.7
4271,2014 Jan 27,0.0,14.5,20.1,8.9,3.0,11.8
5451,2014 Jan 27,0.0,12.7,20.7,4.7,2.1,9.5
11104,2014 Jan 28,0.0,14.9,20.0,9.8,6.4,13.9
18183,2014 Jan 28,0.0,17.6,22.6,13.5,10.2,12.2
1962,2014 Jan 28,0.0,16.5,20.7,12.2,9.9,13.1
2283,2014 Jan 28,0.0,15.3,20.1,10.4,6.1,11.6
24120,2014 Jan 28,0.0,14.7,23.3,5.6,-,11.0
24976,2014 Jan 28,0.0,15.3,20.1,11.7,11.5,11.3
3445,2014 Jan 28,0.0,15.2,17.3,13.0,-,11.6
4271,2014 Jan 28,0.0,16.3,21.0,11.5,6.0,13.9
5451,2014 Jan 28,0.0,15.4,23.6,7.1,2.5,11.4
11104,2014 Jan 29,1.2,15.4,23.5,7.2,3.6,13.3
18183,2014 Jan 29,0.0,17.7,24.7,11.0,6.6,14.5
1962,2014 Jan 29,0.0,17.1,22.5,11.7,7.9,15.5
2283,2014 Jan 29,0.0,15.1,21.0,9.1,5.3,14.2
24120,2014 Jan 29,0.0,17.1,23.4,11.2,-,13.8
24976,2014 Jan 29,0.0,17.0,22.7,12.5,10.5,12.5
3445,2014 Jan 29,0.0,16.2,22.2,10.1,-,13.3
4271,2014 Jan 29,0.0,18.2,22.0,14.4,10.5,15.6
5451,2014 Jan 29,0.0,16.7,23.9,9.4,6.0,10.4
11104,2014 Jan 30,0.6,11.5,15.5,7.4,2.1,11.4
18183,2014 Jan 30,0.0,17.7,23.4,11.3,8.2,14.4
1962,2014 Jan 30,0.0,19.4,22.2,16.6,13.9,15.7
2283,2014 Jan 30,0.0,16.1,22.3,9.8,7.2,15.1
24120,2014 Jan 30,0.0,16.1,20.8,12.3,-,14.2
24976,2014 Jan 30,0.0,17.6,26.4,9.2,7.2,14.6
3445,2014 Jan 30,0.0,19.1,22.5,15.7,-,15.7
4271,2014 Jan 30,0.0,18.3,23.6,12.9,8.6,16.0
5451,2014 Jan 30,0.0,15.8,18.5,13.0,7.1,11.8
11104,2014 Jan 31,0.0,10.9,18.6,3.1,-0.8,11.2
18183,2014 Jan 31,0.0,18.9,24.9,13.9,12.1,16.1
1962,2014 Jan 31,0.0,19.5,25.3,13.7,10.6,16.2
2283,2014 Jan 31,0.0,19.9,24.5,15.3,13.2,15.7
24120,2014 Jan 31,0.0,14.5,17.7,10.5,-,13.4
24976,2014 Jan 31,0.9,17.5,21.0,15.2,14.6,14.4
3445,2014 Jan 31,0.0,17.5,20.3,14.7,-,15.2
4271,2014 Jan 31,0.0,19.2,24.1,14.3,8.4,15.6
5451,2014 Jan 31,0.0,16.7,23.6,9.7,6.8,12.2
11104,2014 Feb 01,0.0,12.9,16.2,9.6,4.9,12.6
18183,2014 Feb 01,0.0,19.4,26.1,13.7,10.1,15.0
1962,2014 Feb 01,0.0,19.0,23.8,14.1,11.3,15.1
2283,2014 Feb 01,0.0,18.9,23.6,14.2,11.4,13.3
24120,2014 Feb 01,0.3,16.3,20.6,12.6,-,14.7
24976,2014 Feb 01,0.6,17.2,21.9,14.9,14.2,14.7
3445,2014 Feb 01,0.0,16.1,18.7,13.5,-,13.8
4271,2014 Feb 01,0.0,18.3,23.3,13.2,7.7,15.0
5451,2014 Feb 01,0.0,16.0,19.9,12.0,7.6,13.1
11104,2014 Feb 02,0.0,13.5,17.5,9.5,7.8,13.5
18183,2014 Feb 02,0.0,18.1,24.4,11.9,9.2,15.3
1962,2014 Feb 02,0.0,20.6,26.6,14.5,10.8,13.6
2283,2014 Feb 02,0.0,17.9,24.1,11.7,9.7,12.4
24120,2014 Feb 02,0.0,16.0,22.0,11.8,-,13.2
24976,2014 Feb 02,0.5,17.7,22.0,14.7,12.5,13.1
3445,2014 Feb 02,0.0,16.6,20.0,13.2,-,13.5
4271,2014 Feb 02,0.0,18.2,22.5,13.8,9.2,15.7
5451,2014 Feb 02,0.0,15.6,25.2,5.9,1.5,11.5
11104,2014 Feb 03,0.0,13.7,21.1,6.2,1.9,13.1
18183,2014 Feb 03,0.0,18.9,24.0,12.8,11.7,16.4
1962,2014 Feb 03,0.0,19.8,25.2,14.4,10.8,16.3
2283,2014 Feb 03,0.0,16.7,21.5,11.8,9.4,15.2
24120,2014 Feb 03,0.0,16.5,22.6,10.4,-,14.0
24976,2014 Feb 03,0.0,17.2,22.4,11.8,9.5,13.1
3445,2014 Feb 03,0.0,15.0,19.2,10.8,-,13.5
4271,2014 Feb 03,0.0,18.9,22.6,15.1,9.9,17.0
5451,2014 Feb 03,0.0,18.3,27.7,8.9,5.1,14.2
11104,2014 Feb 04,0.0,14.5,22.0,6.9,3.5,13.4
18183,2014 Feb 04,0.0,18.3,23.7,13.2,12.2,16.1
1962,2014 Feb 04,0.0,19.4,23.5,15.3,12.1,17.2
2283,2014 Feb 04,0.0,16.0,21.8,10.1,8.6,16.5
24120,2014 Feb 04,0.0,18.7,26.9,14.4,-,15.6
24976,2014 Feb 04,0.0,18.2,26.7,8.7,6.4,13.9
3445,2014 Feb 04,0.0,18.2,21.0,15.3,-,14.9
4271,2014 Feb 04,0.0,18.8,22.6,14.9,9.6,17.0
5451,2014 Feb 04,0.0,17.7,24.6,10.7,6.1,11.5
11104,2014 Feb 05,1.4,11.5,16.3,6.7,0.8,10.5
18183,2014 Feb 05,3.2,18.0,21.9,15.2,14.5,18.0
1962,2014 Feb 05,0.0,21.1,24.9,17.3,15.6,18.1
2283,2014 Feb 05,0.0,19.1,22.2,15.9,15.0,17.5
24120,2014 Feb 05,0.2,14.4,17.0,12.0,-,12.8
24976,2014 Feb 05,0.0,20.9,26.8,17.4,16.4,14.0
3445,2014 Feb 05,0.0,17.9,21.5,14.3,-,14.7
4271,2014 Feb 05,13.6,19.0,24.2,13.7,6.3,14.4
5451,2014 Feb 05,0.0,13.2,17.0,9.3,7.3,9.9
11104,2014 Feb 06,0.0,10.6,18.9,2.2,-1.7,10.2
18183,2014 Feb 06,0.8,18.3,20.5,16.8,16.4,19.2
1962,2014 Feb 06,0.0,21.3,24.9,17.7,15.9,16.6
2283,2014 Feb 06,0.0,21.3,27.3,15.3,14.2,13.3
24120,2014 Feb 06,0.0,14.4,20.5,8.3,-,10.7
24976,2014 Feb 06,0.2,17.0,21.0,14.8,14.6,13.7
3445,2014 Feb 06,0.0,15.3,17.5,13.1,-,11.4
4271,2014 Feb 06,0.0,18.3,22.7,13.8,7.0,10.8
5451,2014 Feb 06,0.0,13.9,24.0,3.7,3.2,10.6
11104,2014 Feb 07,0.0,13.1,20.5,5.6,2.0,13.1
18183,2014 Feb 07,15.2,20.0,21.7,18.2,17.7,22.9
1962,2014 Feb 07,2.2,21.5,24.3,18.6,17.5,18.5
2283,2014 Feb 07,0.4,17.1,21.7,12.4,10.4,15.2
24120,2014 Feb 07,0.2,15.2,20.2,10.8,-,12.1
24976,2014 Feb 07,4.1,16.9,20.4,13.2,13.4,17.1
3445,2014 Feb 07,4.7,16.4,20.6,12.2,-,12.6
4271,2014 Feb 07,11.2,13.4,16.2,10.5,3.5,11.8
5451,2014 Feb 07,0.0,17.1,26.9,7.3,6.1,12.1
11104,2014 Feb 08,0.0,13.7,15.8,11.6,11.1,12.8
18183,2014 Feb 08,0.0,19.6,23.0,17.0,15.9,19.4
1962,2014 Feb 08,4.2,21.3,23.7,18.8,18.3,21.0
2283,2014 Feb 08,14.6,20.5,23.8,17.1,16.3,18.6
24120,2014 Feb 08,0.5,16.3,21.9,11.9,-,14.9
24976,2014 Feb 08,19.5,21.1,27.7,17.7,17.6,21.3
3445,2014 Feb 08,4.4,15.4,16.4,14.3,-,16.7
4271,2014 Feb 08,17.4,19.6,25.8,13.3,12.8,18.2
5451,2014 Feb 08,0.0,14.8,20.5,9.1,8.8,13.3
11104,2014 Feb 09,0.0,15.1,19.6,10.6,5.2,12.6
18183,2014 Feb 09,0.0,18.9,22.7,17.1,16.3,17.8
1962,2014 Feb 09,0.0,21.8,25.0,18.6,16.1,20.0
2283,2014 Feb 09,0.0,18.7,21.4,15.9,14.7,16.6
24120,2014 Feb 09,0.5,14.9,19.4,11.7,-,12.8
24976,2014 Feb 09,0.0,20.0,23.4,17.3,17.3,18.7
3445,2014 Feb 09,0.4,14.8,15.2,14.4,-,15.6
4271,2014 Feb 09,0.0,19.0,24.5,13.5,9.5,17.8
5451,2014 Feb 09,0.0,16.9,22.7,11.0,10.4,12.1
11104,2014 Feb 10,0.0,14.9,23.7,6.0,1.6,12.8
18183,2014 Feb 10,0.0,19.8,25.2,16.3,14.6,17.0
1962,2014 Feb 10,0.0,20.9,23.8,17.9,15.0,16.2
2283,2014 Feb 10,0.0,16.5,18.6,14.4,12.9,14.5
24120,2014 Feb 10,0.0,15.0,21.0,12.1,-,11.5
24976,2014 Feb 10,0.5,18.5,22.2,16.0,15.0,15.2
3445,2014 Feb 10,2.8,14.0,15.0,12.9,-,14.6
4271,2014 Feb 10,0.0,18.0,22.9,13.1,8.3,16.6
5451,2014 Feb 10,0.0,17.4,26.8,8.0,6.8,12.4
11104,2014 Feb 11,0.2,13.8,16.8,10.7,8.6,13.8
18183,2014 Feb 11,0.0,18.8,22.9,15.3,13.2,16.0
1962,2014 Feb 11,0.0,20.3,23.1,17.5,16.5,16.5
2283,2014 Feb 11,0.0,16.4,20.5,12.3,9.6,15.0
24120,2014 Feb 11,0.0,15.5,20.8,12.2,-,12.7
24976,2014 Feb 11,0.3,19.4,24.8,14.4,13.2,16.9
3445,2014 Feb 11,0.0,16.3,20.6,11.9,-,15.1
4271,2014 Feb 11,1.4,19.6,23.0,16.1,12.4,17.7
5451,2014 Feb 11,0.0,17.6,23.0,12.2,10.0,11.8
11104,2014 Feb 12,6.2,13.9,16.7,11.1,10.5,13.7
18183,2014 Feb 12,0.0,17.9,22.6,14.1,12.1,16.2
1962,2014 Feb 12,1.2,18.3,22.7,13.8,11.1,15.4
2283,2014 Feb 12,2.0,18.4,21.1,15.6,15.0,15.5
24120,2014 Feb 12,13.6,15.9,23.3,12.0,-,14.0
24976,2014 Feb 12,0.5,21.3,27.8,15.6,13.7,15.3
3445,2014 Feb 12,0.5,18.2,20.7,15.6,-,15.9
4271,2014 Feb 12,0.0,19.1,24.5,13.7,8.8,13.8
5451,2014 Feb 12,2.0,12.7,16.1,9.3,8.4,10.3
11104,2014 Feb 13,18.8,12.9,13.7,12.1,11.6,14.4
18183,2014 Feb 13,0.0,17.9,22.1,15.7,12.9,15.5
1962,2014 Feb 13,0.4,19.5,22.8,16.2,15.2,15.1
